sample;Depth;NO3;NO2;NH4;TIN;PO4;SiO2;DOC;TN;DON;Chla_0.2;Chla_3;Chlorophyll_a;Bacterial_abundance;Bacterial_biomass; Synechococcales;Prochlorococcus;Pico_small;Pico_big;PP_0.2;PP_0.2_SD;PP_3;PP_3_SD;PP_total;PP_total_ee;BP;BP_ee
ENV3_D1_S3;20;6.58;0.18;0.33;7.1;0.44;2.94;58.94;11;3.9;0.171;2.348905014;2.52;410921;32;1568;0;867;610;1.973687958;0.068048418;0.095712302;0.002568659;2.06940026;0.070617077;5.541932939;1.561883275
ENV3_D1_S3;40;9.5;0.04;0.39;9.93;0.65;5.04;65.31;12.66;2.73;0.103;0.370901014;0.474;216033;17;198;0;155;70;0.162426738;0.019664982;0.030122246;0.005937393;0.192548984;0.025602375;0.646896354;0.168209698
ENV3_D1_S3;75;10.3;0.03;0.66;10.99;0.68;5.95;66.33;13.34;2.34;0.045;0.109157014;0.154;218054;17;123;0;37;48;;;;;;;0.474990679;0.213570166
ENV3_D1_S6;5;0.05;0.01;0.06;0.12;0.02;1.46;;;;0.245;0.82943;1.075;911837;172;16210;0;12394;792;;;;;;;;
ENV3_D1_S6;20;0;0.04;0.1;0.14;0.03;1.44;;;;0.46;0.828282;1.288;1313249;248;69860;0;24751;899;;;;;;;;
ENV3_D1_S6;40;4.6;0.29;0.08;4.97;0.32;2.2;;;;0.174;0.248542;0.422;271849;51;9831;0;2981;471;;;;;;;;
ENV3_D1_S6;75;5.03;0.2;0.82;6.05;0.33;2.31;;;;0.083;0.107338;0.191;140679;27;492;0;230;262;;;;;;;;
ENV3_D1_S6;150;6.59;0.05;0.26;6.9;0.41;2.89;;;;0.045;0.092414;0.138;85589;16;182;0;107;32;;;;;;;;
ENV3_D3_S3;5;0.43;0.02;0.06;0.51;0.16;1.41;75.87;5.18;4.68;0.142639;8.869735;9.012;1004138;76;1632;0;3184;1761;36.60489314;0.969730207;1.197042128;0.577700894;37.80193527;1.466243215;29.84755146;1.890709485
ENV3_D3_S3;8;1.07;0.07;0.04;1.18;0.16;1.37;71.88;4.57;3.39;0.375683;10.542371;10.918;1211179;92;;;;;36.31985575;2.783519321;1.908613978;0.343838797;36.86968931;1.902185077;33.31146851;0.579302196
ENV3_D3_S3;20;7.75;0.09;0.01;7.85;0.49;3.36;60.95;11.08;3.22;0.139195;0.817663;0.957;543127;41;3040;0;1252;439;1.665974618;0.142447275;0.162823781;0.009179444;1.828798399;0.151626719;2.0705914;0.24211078
ENV3_D3_S3;40;8.44;0.05;0.04;8.53;0.53;3.96;59.58;10.66;2.13;0.066871;0.256291;0.323;391902;30;1814;0;412;144;0.187726242;0.139269512;0.302532971;0.153894888;0.490259213;0.279289389;1.178688958;0.109530866
ENV3_D3_S3;75;10.98;0;0.03;11.01;0.74;6.63;58.21;13.51;2.5;0.026691;0.102459;0.129;316963;24;177;0;75;27;;;;;;;0.756304266;0.083391868
ENV3_D3_S6;5;0.26;0.01;0.09;0.36;0.05;3.21;;;;0.167895;0.821107;0.989;585702;111;20962;0;14283;1825;;;;;;;;
ENV3_D3_S6;20;0.27;0;0.07;0.35;0.05;2.79;;;;0.255143;1.449063;1.704;696297;132;32372;0;7669;915;;;;;;;;
ENV3_D3_S6;40;3.11;0.2;0.12;3.43;0.26;3.09;;;;0.320579;0.813071;1.134;286723;54;29916;0;5817;744;;;;;;;;
ENV3_D3_S6;50;4.05;0.14;0.08;4.26;0.31;3.53;;;;0.218407;0.563955;0.782;223004;42;15557;0;3243;396;;;;;;;;
ENV3_D3_S6;60;4.85;0.1;0.08;5.02;0.37;3.57;;;;0.125419;0.195447;0.321;154853;29;3457;0;803;70;;;;;;;;
ENV3_D3_S6;80;5.66;0.09;0.09;5.83;0.41;3.85;;;;0.056539;0.245959;0.302;111165;21;519;0;171;37;;;;;;;;
